#SUBMITTED ID	SYMBOL
FBgn0051872	CG31872
FBgn0030593	CG9512
FBgn0027560	Tps1
FBgn0001114	Glt
FBgn0034394	CG15096
FBgn0287423	Nplp2
FBgn0043575	PGRP-SC2
FBgn0011584	Trp1
FBgn0267417	CG45770
FBgn0011670	Mst57Dc
FBgn0028988	Spn42Dd
FBgn0026415	Idgf4
FBgn0015584	Acp53Ea
FBgn0031517	CG15406
FBgn0000079	Amy-p
FBgn0010357	betaTry
FBgn0028987	Spn28F
FBgn0259715	CG42369
FBgn0053808	His2A:CG33808
FBgn0026314	Ugt35B1
FBgn0031277	CG13947
FBgn0039598	aqrs
FBgn0021872	Xbp1
FBgn0035665	Jon65Aiii
FBgn0034295	CG10911
FBgn0039597	CG9997
FBgn0036969	Spn77Bb
FBgn0039655	CG14507
FBgn0039313	CG11892
FBgn0033164	CG11112
FBgn0045823	vsg
FBgn0265267	CG18258
FBgn0028534	CG7916
FBgn0052537	CG32537
FBgn0003961	Uro
FBgn0031801	CG9498
FBgn0054034	CG34034
FBgn0035933	CG13309
FBgn0260745	mfas
FBgn0083936	Acp54A1
FBgn0036551	CG17029
FBgn0038681	Cyp12a4
FBgn0005391	Yp2
FBgn0033271	CG8708
FBgn0031741	CG11034
FBgn0034716	Oatp58Dc
FBgn0016123	Alp4
FBgn0031746	CG9029
FBgn0085353	CG34324
FBgn0250831	BG642167
FBgn0031066	COX6B
FBgn0083965	CG34129
FBgn0039471	CG6295
FBgn0036321	CG14120
FBgn0034512	Bbd
FBgn0266363	CG45011
FBgn0053255	CR33255
FBgn0031561	IM33
FBgn0004047	Yp3
FBgn0000276	CecA1
FBgn0029629	eIF3g1
FBgn0000094	Anp
FBgn0039475	CG6277
FBgn0028896	CG17329
FBgn0036262	CG6910
FBgn0038658	CG14292
FBgn0040653	Dso1
FBgn0032834	CG13965
FBgn0032049	Bace
FBgn0035667	Jon65Ai
FBgn0051806	CG31806
FBgn0000406	Cyt-b5-r
FBgn0027567	Ciz1
FBgn0037038	CG11037
FBgn0038170	CG14367
FBgn0032202	REPTOR-BP
FBgn0035042	CG3640
FBgn0004425	LysB
FBgn0003638	su(w[a])
FBgn0036419	CG13482
FBgn0039769	CG15534
FBgn0038136	CG8774
FBgn0263249	CG43392
FBgn0033165	CG11113
FBgn0050438	Ugt50B3
FBgn0053051	Polr3G
FBgn0015585	Acp63F
FBgn0038702	CG3739
FBgn0001112	Gld
FBgn0003358	Jon99Ci
FBgn0004169	up
FBgn0028943	CG15638
FBgn0052667	ssp7
FBgn0036996	mag
FBgn0051659	CG31659
FBgn0263024	CG43319
FBgn0267252	Ggamma30A
FBgn0040398	CG14629
FBgn0004427	LysD
FBgn0029606	CG14052
FBgn0267327	Acp33A
FBgn0083966	CG34130
FBgn0035189	CG9119
FBgn0283480	Alp2
FBgn0053516	dpr3
FBgn0001133	grau
FBgn0259966	Sfp51E
FBgn0039778	Jon99Fi
FBgn0034296	CG10912
FBgn0030519	CG11151
FBgn0051496	CG31496
FBgn0039310	CG11878
FBgn0265178	CG44243
FBgn0020509	Acp62F
FBgn0261575	tobi
FBgn0030309	CG1572
FBgn0020238	14-3-3epsilon
FBgn0032868	CG17472
FBgn0037004	CG17637
FBgn0010425	epsilonTry
FBgn0032025	CG7778
FBgn0263082	CG43350
FBgn0032138	CG4364
FBgn0029170	TwdlT
FBgn0033733	CG8834
FBgn0022355	Tsf1
FBgn0038423	CG10317
FBgn0035779	CG8562
FBgn0033296	Mal-A7
FBgn0013763	Idgf6
FBgn0039049	CG6726
FBgn0046114	Gclm
FBgn0039519	Cyp6a18
FBgn0035661	CG10477
FBgn0036485	FucTA
FBgn0054002	CG34002
FBgn0032715	CG17597
FBgn0259975	Sfp87B
FBgn0036024	CG18180
FBgn0000639	Fbp1
FBgn0053306	CG33306
FBgn0024234	gbb
FBgn0032505	CG16826
FBgn0034662	CG13492
FBgn0036186	CG6071
FBgn0025682	scf
FBgn0001187	Hex-C
FBgn0030594	fiz
FBgn0002856	Acp26Ab
FBgn0020508	Ag5r2
FBgn0259971	CG42481
FBgn0035520	CG11586
FBgn0031654	Jon25Bii
FBgn0039800	Npc2g
FBgn0284243	betaTub56D
FBgn0011766	E2f1
FBgn0259967	Sfp53D
FBgn0085195	CG34166
FBgn0036203	Muc68D
FBgn0262899	CG43254
FBgn0030251	CG2145
FBgn0052833	CG32833
FBgn0020906	Jon25Bi
FBgn0035624	Eaf6
FBgn0016684	NaPi-T
FBgn0030679	CG8206
FBgn0020618	Rack1
FBgn0043470	lambdaTry
FBgn0039768	CG15533
FBgn0259973	Sfp79B
FBgn0011581	Ms
FBgn0030837	CG8661
FBgn0003356	Jon99Cii
FBgn0039452	CG14245
FBgn0034914	CG5554
FBgn0030955	CG6891
FBgn0038845	Alp5
FBgn0086472	RpS25
FBgn0015583	Acp29AB
FBgn0052368	lncRNA:CR32368
FBgn0036998	CG5969
FBgn0039342	CG5107
FBgn0032087	CG9568
FBgn0037146	P5CS
FBgn0262814	CG43185
FBgn0262547	CG43101
FBgn0053333	CG33333
FBgn0031249	CG11911
FBgn0023507	D2hgdh
FBgn0026562	SPARC
FBgn0033448	hebe
FBgn0030905	CG15059
FBgn0035083	Tina-1
FBgn0038919	Qsox2
FBgn0261538	CG42662
FBgn0030160	CG9691
FBgn0030775	CG9673
FBgn0030996	CG14194
FBgn0037180	CG14452
FBgn0261059	Sfp78E
FBgn0039099	GILT2
FBgn0003449	snf
FBgn0036373	Tgi
FBgn0040629	CAH5
FBgn0036467	CG12310
FBgn0030067	Rbm13
FBgn0051704	CG31704
FBgn0039872	salt
FBgn0037913	fabp
FBgn0038701	CG18493
FBgn0039873	Smvt
FBgn0035299	CG11815
FBgn0265785	CG44574
FBgn0263081	CG43349
FBgn0034901	CG11300
FBgn0003275	Polr2F
FBgn0015321	Ubc4
FBgn0266446	CG45076
FBgn0037036	Sems
FBgn0037084	Syx6
FBgn0004795	retn
FBgn0000121	Arr2
FBgn0002773	Mlc2
FBgn0038774	CG5023
FBgn0035216	CG9168
FBgn0035176	mat
FBgn0051956	Pgant4
FBgn0033814	Qsox1
FBgn0287831	speck
FBgn0032050	CG13096
FBgn0042086	Tsp42Eb
FBgn0262099	CG42852
FBgn0261860	CG42789
FBgn0022097	Vha36-1
FBgn0003721	Tm1
FBgn0031562	CG3604
FBgn0028526	CG15293
FBgn0039325	CG10560
FBgn0010246	Myo61F
FBgn0032069	LManVI
FBgn0051419	CG31419
FBgn0037577	CG7443
FBgn0039084	CG10175
FBgn0002869	MtnB
FBgn0002622	RpS3
FBgn0014020	Rho1
FBgn0004921	Ggamma1
FBgn0030769	CG13012
FBgn0051418	CG31418
FBgn0032897	CG9336
FBgn0024362	Naa30A
FBgn0039359	RpL27
FBgn0011556	zetaTry
FBgn0261060	Sfp93F
FBgn0034292	CG5767
FBgn0035926	Acbp5
FBgn0026372	RpL23A
FBgn0022985	qkr58E-2
FBgn0053533	lectin-37Db
FBgn0037260	Mur82C
FBgn0261989	CG42807
FBgn0040968	CG14933
FBgn0038069	CG11608
FBgn0011669	Mst57Db
FBgn0034415	Gpxl
FBgn0040098	lectin-29Ca
FBgn0002571	Mal-A3
FBgn0039474	CG6283
FBgn0262359	CG43057
FBgn0036285	toe
FBgn0043796	CG12219
FBgn0030643	CG15641
FBgn0002569	Mal-A2
FBgn0039783	PH4alphaNE2
FBgn0032422	atilla
FBgn0013307	Odc1
FBgn0027590	GstE12
FBgn0263773	fok
FBgn0024293	Spn43Ab
FBgn0038918	Qsox3
FBgn0032706	Irk3
FBgn0040350	CG3690
FBgn0003941	RpL40
FBgn0028473	Non1
FBgn0030932	Ggt-1
FBgn0034534	maf-S
FBgn0053126	NLaz
FBgn0013954	Fkbp12
FBgn0030098	CG12057
FBgn0052694	CG32694
FBgn0030774	sphe
FBgn0259998	CG17571
FBgn0053265	Muc68E
FBgn0038243	CG8066
FBgn0036154	CG6168
FBgn0033301	CG12780
FBgn0263762	CG43679
FBgn0085313	CG34284
FBgn0039599	intr
FBgn0036516	CG7656
FBgn0031929	CG18585
FBgn0259951	Sfp24Ba
FBgn0024289	Sodh1
FBgn0001285	Jon44E
FBgn0027554	CG8042
FBgn0033927	CR10102
FBgn0031069	Abcd3
FBgn0034225	veil
FBgn0033367	PPO2
FBgn0030999	Mur18B
FBgn0035666	Jon65Aii
FBgn0250847	CG14034
FBgn0037204	CG11131
FBgn0033926	Arc1
FBgn0038292	CG3987
FBgn0032235	CG5096
FBgn0039052	CG6733
FBgn0003137	Ppn
FBgn0035619	Alp10
FBgn0004629	Cys
FBgn0003514	sqh
FBgn0032322	CG16743
FBgn0038032	CG10096
FBgn0039787	CG9702
FBgn0262961	CG43272
FBgn0034867	CG13557
FBgn0051326	CG31326
FBgn0033297	Mal-A8
FBgn0032853	CG10651
FBgn0035601	Uev1A
FBgn0015623	Cpr
FBgn0053882	His2B:CG33882
FBgn0031603	CG15432
FBgn0015789	Rab10
FBgn0035077	CG9083
FBgn0052203	Spn75F
FBgn0286929	CG46426
FBgn0038481	CG17475
FBgn0030589	CG9519
FBgn0026565	Ass
FBgn0035343	CG16762
FBgn0038790	MtnC
FBgn0033859	fand
FBgn0002787	Rpn8
FBgn0014391	sun
FBgn0263206	CG43376
FBgn0259958	Sfp24F
FBgn0015770	MstProx
FBgn0034885	Eglp4
FBgn0054054	CG34054
FBgn0027552	CG10863
FBgn0039761	CG18404
FBgn0019936	RpS20
FBgn0040732	CG16926
FBgn0262736	Vha16-1
FBgn0052457	CG32457
FBgn0265052	St3
FBgn0038718	CG17752
FBgn0262007	CG42825
FBgn0036796	CG18231
FBgn0040239	bc10
FBgn0035287	CG13937
FBgn0037323	CG2663
FBgn0033093	CG3270
FBgn0053127	CG33127
FBgn0261789	SmD2
FBgn0028949	CG15254
FBgn0261853	CG42782
FBgn0038607	hmw
FBgn0015288	RpL22
FBgn0003076	Pgm1
FBgn0015737	Hmu
FBgn0030629	CG9123
FBgn0029766	CG15784
FBgn0038747	RhoGAP92B
FBgn0287212	CG46442
FBgn0034588	CG9394
FBgn0000667	Actn
FBgn0053530	Acp53C14c
FBgn0050371	CG30371
FBgn0263270	CG43396
FBgn0259968	Sfp60F
FBgn0013347	TfIIA-S
FBgn0039210	CG13625
FBgn0040349	CG3699
FBgn0265180	CG44245
FBgn0035370	Non2
FBgn0264695	Mhc
FBgn0030452	MFS10
FBgn0267491	Mst77Y-13
FBgn0040606	CG6503
FBgn0030183	Ypel
FBgn0014073	Tie
FBgn0039404	CG14543
FBgn0020224	Cbl
FBgn0030929	CG15043
FBgn0039735	Nph
FBgn0032772	CG17350
FBgn0036232	CG14125
FBgn0037678	CG16749
FBgn0030855	CG5800
FBgn0265201	CG44261
FBgn0038973	Pebp1
FBgn0040609	CG3348
FBgn0038149	GILT1
FBgn0028325	Pdha
FBgn0259969	Sfp65A
FBgn0030688	CG8952
FBgn0034000	CG11808
FBgn0035154	hiro
FBgn0033208	mRpL52
FBgn0003034	SP
FBgn0030859	CG12990
FBgn0034750	CG3732
FBgn0026141	Cdlc2
FBgn0000115	Arl1
FBgn0011555	thetaTry
FBgn0035771	Sec63
FBgn0037782	Npc2d
FBgn0028292	ric8a
FBgn0037360	CG2182
FBgn0012034	AcCoAS
FBgn0283461	Drs
FBgn0034961	CG3163
FBgn0015527	peng
FBgn0036158	CG6149
FBgn0026403	Ndg
FBgn0034871	CG3906
FBgn0037262	MED31
FBgn0267912	CanA-14F
FBgn0033167	CG1701
FBgn0003374	Sgs4
FBgn0033294	Mal-A4
FBgn0002939	ninaD
FBgn0026400	Noa36
FBgn0025394	inc
FBgn0035587	Gdap1
FBgn0034538	CG16799
FBgn0035715	Ist1
FBgn0030339	Cyp28c1
FBgn0259101	CG42249
FBgn0035611	CG13285
FBgn0286818	Pdi
FBgn0003373	Sgs3
FBgn0033716	Den1
FBgn0051021	CG31021
FBgn0032066	LManIII
FBgn0000046	Act87E
FBgn0027844	CAH1
FBgn0039616	CG11828
FBgn0034138	RpS15
FBgn0035043	CG4781
FBgn0262508	CG43078
FBgn0029873	CG3918
FBgn0032074	Tsp29Fa
FBgn0027287	Gmap
FBgn0259952	Sfp24Bb
FBgn0032408	CG6712
FBgn0085476	CG34447
FBgn0030396	CG2556
FBgn0029608	CG3091
FBgn0014028	SdhB
FBgn0039031	Gbp3
FBgn0031523	CG15408
FBgn0051901	Mur29B
FBgn0013269	Fkbp39
FBgn0051017	PH4alphaNE3
FBgn0267513	28SrRNA-Psi:CR45853
FBgn0032400	CG6770
FBgn0027334	l(1)G0004
FBgn0035393	CG16753
FBgn0051680	CG31680
FBgn0262146	MtnE
FBgn0031677	CG14036
FBgn0052023	CG32023
FBgn0035638	Tektin-C
FBgn0031010	CG8028
FBgn0040496	CG17104
FBgn0034331	BomBc2
FBgn0000078	Amy-d
FBgn0036553	CG17027
FBgn0261113	Xrp1
FBgn0051952	CG31952
FBgn0259209	Mlp60A
FBgn0028480	CG17841
FBgn0031736	CG11030
FBgn0266451	fau
FBgn0038172	Adgf-D
FBgn0085227	CG34198
FBgn0001226	Hsp27
FBgn0035620	Alp9
FBgn0026084	cib
FBgn0040528	CG15864
FBgn0265188	CG44253
FBgn0259970	Sfp70A4
FBgn0031037	CG14207
FBgn0000442	Pkg21D
FBgn0030352	sicily
FBgn0030603	CG5541
FBgn0034258	eIF3c
FBgn0034200	Gbp2
FBgn0035978	UGP
FBgn0000042	Act5C
FBgn0019624	COX5A
FBgn0051548	CG31548
FBgn0034693	flap
FBgn0267828	Fatp1
FBgn0264294	Cyt-b5
FBgn0035544	CG15021
FBgn0038337	CG6125
FBgn0262581	CG43121
FBgn0039192	CG17784
FBgn0035082	CG2811
FBgn0033446	CG1648
FBgn0034289	CG10910
FBgn0030148	CG3106
FBgn0039312	CG10514
FBgn0066084	RpL41
FBgn0260855	Sec22
FBgn0036927	Gabat
FBgn0040375	CG13760
FBgn0034650	NC2alpha
FBgn0000659	fkh
FBgn0037881	GCC88
FBgn0037270	eIF3f1
FBgn0027291	Idh3a
FBgn0024985	Rilpl
FBgn0260972	alc
FBgn0051524	CG31524
FBgn0040107	lectin-21Ca
FBgn0038147	CCHa2
FBgn0032285	CG17108
FBgn0035323	CG13807
FBgn0036825	RpL26
FBgn0020249	stck
FBgn0052640	CG32640
FBgn0004117	Tm2
FBgn0034697	GM130
FBgn0002563	Lsp1beta
FBgn0032669	CG15155
FBgn0038098	CG7381
FBgn0011474	Set8
FBgn0031150	bves
FBgn0284255	Arpc4
FBgn0042135	Gdap2
FBgn0259964	Sfp33A3
FBgn0034417	CG15117
FBgn0001142	Gs1
FBgn0000565	MsrA
FBgn0014026	RpL7A
FBgn0035422	RpL28
FBgn0011836	Taf2
FBgn0040340	TRAM
FBgn0026088	CG14818
FBgn0054026	CG34026
FBgn0053062	CG33062
FBgn0028381	Decay
FBgn0036213	RpL10Ab
FBgn0039757	RpS7
FBgn0028583	lcs
FBgn0283437	PPO1
FBgn0030455	CG4318
FBgn0043578	PGRP-SB1
FBgn0036496	cocoon
FBgn0029801	CG15771
FBgn0264911	CG44102
FBgn0038043	CG17202
FBgn0003979	Vm26Aa
FBgn0262365	CG43063
FBgn0264342	CG43798
FBgn0030328	Amun
FBgn0263598	Vha68-2
FBgn0030310	PGRP-SA
FBgn0002579	RpL36
FBgn0259195	CG42299
FBgn0039257	tnc
FBgn0011693	Pdh
FBgn0037039	CG10587
FBgn0033250	CG14762
FBgn0029810	CG12239
FBgn0036738	CG7542
FBgn0014000	Hf
FBgn0032785	CG10026
FBgn0035526	CG1316
FBgn0036643	Syx8
FBgn0025390	Mur2B
FBgn0032836	CG10680
FBgn0035981	CG4452
FBgn0039307	CR13656
FBgn0085205	CG34176
FBgn0259972	Sfp77F
FBgn0014859	Hr38
FBgn0024998	CG2685
FBgn0038640	CG7706
FBgn0034797	nahoda
FBgn0263973	jv
FBgn0052412	QC
FBgn0034199	Gbp1
FBgn0051105	ppk22
FBgn0030641	CG6299
FBgn0036918	Pfdn6
FBgn0032404	RpL7-like
FBgn0010282	TfIIFalpha
FBgn0000044	Act57B
FBgn0014863	Mlp84B
FBgn0010520	Bka
FBgn0034761	CG4250
FBgn0031276	CG12506
FBgn0086362	spn-F
FBgn0023212	EloB
FBgn0022160	Gpo1
FBgn0033153	Gadd45
FBgn0029092	ced-6
FBgn0262559	Mdh2
FBgn0053502	CG33502
FBgn0002789	Mp20
FBgn0010358	deltaTry
FBgn0262574	CG43114
FBgn0001098	Gdh
FBgn0259173	corn
FBgn0001977	CIAPIN1
FBgn0032518	RpL24
FBgn0032614	CG13284
FBgn0039782	CG15539
FBgn0032435	Oatp33Eb
FBgn0039685	Obp99b
FBgn0002930	nec
FBgn0038135	CG8773
FBgn0262782	Mdh1
FBgn0010548	Aldh-III
FBgn0004838	Hrb27C
FBgn0030605	ND-B18
FBgn0034247	CG6484
FBgn0033145	CG12828
FBgn0026089	CG14817
FBgn0027493	AdSS
FBgn0040723	CG5011
FBgn0265042	Irk1
FBgn0037660	beag
FBgn0054043	CG34043
FBgn0038419	CG14879
FBgn0052418	vito
FBgn0039766	CG15536
FBgn0287590	CG46460
FBgn0259965	Sfp35C
FBgn0033913	CG8468
FBgn0034883	Eglp2
FBgn0038273	CG14860
FBgn0038716	CG7342
FBgn0037276	CG17387
FBgn0031918	CG6055
FBgn0014184	Oda
FBgn0038746	Surf6
FBgn0050101	Vajk4
FBgn0041629	Hexo2
FBgn0003046	Pcp
FBgn0039697	Etfb
FBgn0015872	Drip
FBgn0260223	CG42497
FBgn0011291	Taf11
FBgn0040905	CG15578
FBgn0031751	CG9016
FBgn0050042	Cpr49Ab
FBgn0024846	p38b
FBgn0031409	CG4271
FBgn0037023	CG3698
FBgn0010497	dmGlut
FBgn0017579	RpL14
FBgn0266448	CG45078
FBgn0030041	CG12116
FBgn0038685	CG14282
FBgn0033812	Pex13
FBgn0051054	CR31054
FBgn0027087	HisRS
FBgn0031468	CG2975
FBgn0039629	CG11842
FBgn0013987	MAPk-Ak2
FBgn0261597	RpS26
FBgn0263200	Galt
FBgn0038275	CG3817
FBgn0000360	Cp38
FBgn0035388	CG2162
FBgn0030314	CG11696
FBgn0025583	BomS2
FBgn0032644	CG5131
FBgn0039131	CG12268
FBgn0035251	Vta1
FBgn0003139	PpV
FBgn0037498	CG10029
FBgn0031608	CG15435
FBgn0035164	CG13901
FBgn0038809	CG16953
FBgn0259956	Sfp24C1
FBgn0031538	CG3246
FBgn0011695	EbpIII
FBgn0031004	CG7992
FBgn0052633	CG32633
FBgn0261573	CoRest
FBgn0261881	Ankrd49
FBgn0002643	mam
FBgn0035589	CHMP2B
FBgn0052687	CG32687
FBgn0034808	CG9896
FBgn0037716	Son
FBgn0050273	CG30273
FBgn0052985	CG32985
FBgn0038235	CG8461
FBgn0028945	CG7631
FBgn0051195	CG31195
FBgn0085395	Shawl
FBgn0015039	Cyp9b2
FBgn0285950	RpL19
FBgn0038914	fit
FBgn0002562	Lsp1alpha
FBgn0263234	Phae1
FBgn0003162	Pu
FBgn0035696	Best2
FBgn0040786	CG14104
FBgn0043792	CG30427
FBgn0051373	CG31373
FBgn0027598	cindr
FBgn0263033	CG43328
FBgn0038130	CG8630
FBgn0032156	CG13124
FBgn0003714	tko
FBgn0086450	su(r)
FBgn0037845	CG14694
FBgn0039492	CG6051
FBgn0011694	EbpII
FBgn0039636	Atg14
FBgn0262571	CG43111
FBgn0043576	PGRP-SC1a
FBgn0031020	Naa15-16
FBgn0001186	Hex-A
FBgn0261058	Sfp38D
FBgn0051697	CG31697
FBgn0259959	Sfp26Ac
FBgn0000618	e(y)2
FBgn0039557	CG12259
FBgn0030575	CG5321
FBgn0085193	CG34164
FBgn0050382	Prosalpha1R
FBgn0040089	meso18E
FBgn0030672	CG9281
FBgn0036804	Sgf11
FBgn0033101	CG9436
FBgn0032899	CG9338
FBgn0013342	nSyb
FBgn0036795	CG18233
FBgn0027497	Madm
FBgn0052499	Cda4
FBgn0039765	mRpS18C
FBgn0053300	Muc30E
FBgn0030940	CG15040
FBgn0038601	Polr1E
FBgn0033447	dila
FBgn0033728	Cpr49Ae
FBgn0026411	Lim1
FBgn0026593	CG5707
FBgn0029994	Ldsdh1
FBgn0030776	CG4653
FBgn0011280	Obp19d
FBgn0029084	gom
FBgn0037650	CG11977
FBgn0053346	CG33346
FBgn0036337	Adk2
FBgn0012037	Ance
FBgn0051463	CG31463
FBgn0262140	CG42866
FBgn0039562	Gp93
FBgn0001258	Ldh
FBgn0026061	Mipp1
FBgn0259949	Sfp23F
FBgn0038074	Gnmt
FBgn0001128	Gpdh1
FBgn0004854	B-H2
FBgn0267487	Ptp61F
FBgn0037003	CG18281
FBgn0051004	mesh
FBgn0038675	CG6013
FBgn0038744	CG4733
FBgn0019925	Surf4
FBgn0005533	RpS17
FBgn0053144	CG33144
FBgn0032774	CG17549
FBgn0036152	Dyro
FBgn0030208	PPP4R2r
FBgn0026602	Adk3
FBgn0036188	Polr3H
FBgn0026373	Polr2C
FBgn0051516	CG31516
FBgn0031460	CG15399
FBgn0053080	CG33080
FBgn0051779	Acp24A4
FBgn0264725	CG43993
FBgn0034858	eIF2Bdelta
FBgn0033229	CG12822
FBgn0051092	LpR2
FBgn0052382	sphinx2
FBgn0259481	Mob2
FBgn0034957	Rsph4a
FBgn0039754	CG9747
FBgn0032533	CG16888
FBgn0020910	RpL3
FBgn0029117	Surf1
FBgn0004242	Syt1
FBgn0035875	Cpr66Cb
FBgn0261458	capt
FBgn0031700	CG14022
FBgn0035583	hoka
FBgn0016685	Nlp
FBgn0250848	26-29-p
FBgn0011236	ken
FBgn0003310	S
FBgn0083141	Spn28B
FBgn0037059	CG10510
FBgn0025680	cry
FBgn0028398	Taf10
FBgn0040502	CG8343
FBgn0033065	Cyp6w1
FBgn0284248	Cyt-c-p
FBgn0036096	CG8003
FBgn0036727	SecCl
FBgn0267348	LanB2
FBgn0039300	RpS27
FBgn0038181	CG9297
FBgn0015031	cype
FBgn0085328	CG34299
FBgn0004507	GlyP
FBgn0026738	CG7857
FBgn0013764	Chi
FBgn0004428	LysE
FBgn0028982	Spt6
FBgn0035603	Pfdn4
FBgn0035186	CG13912
FBgn0030103	Obp8a
FBgn0023477	Taldo
FBgn0004657	mys
FBgn0038756	CG4783
FBgn0050488	antr
FBgn0015776	nrv1
FBgn0020257	Ppa
FBgn0037724	Fst
FBgn0035089	Phk-3
FBgn0030241	feo
FBgn0085451	htk
FBgn0053890	His2B:CG33890
FBgn0053892	His2B:CG33892
FBgn0053894	His2B:CG33894
FBgn0053896	His2B:CG33896
FBgn0053898	His2B:CG33898
FBgn0053904	His2B:CG33904
FBgn0003742	tra2
FBgn0023506	Es2
FBgn0000056	Adhr
FBgn0027095	Manf
FBgn0035695	CG10226
FBgn0037446	Zif
FBgn0053552	CG33552
FBgn0033710	CG17739
FBgn0030990	CG7556
FBgn0033624	CG12384
FBgn0033379	Mys45A
FBgn0028841	jhamt
FBgn0021825	DCTN2-p50
FBgn0032509	CG6523
FBgn0000473	Cyp6a2
FBgn0051835	CG31835
FBgn0260953	CG42585
FBgn0034313	CG5726
FBgn0035008	CG3494
FBgn0031273	CG2839
FBgn0031190	CG12576
FBgn0038820	CG4000
FBgn0030222	CG9806
FBgn0019928	Ser8
FBgn0024807	DIP1
FBgn0014469	Cyp4e2
FBgn0030311	CG11699
FBgn0051145	CG31145
FBgn0000477	DNaseII
FBgn0030943	Nup35
FBgn0011554	etaTry
FBgn0260463	Unc-115b
FBgn0035091	CG3829
FBgn0053113	Rtnl1
FBgn0039670	CG7567
FBgn0052201	CG32201
FBgn0259734	Nost
FBgn0030468	CG1622
FBgn0050291	CG30291
FBgn0030223	CG2111
FBgn0043533	Obp56f
FBgn0052383	sphinx1
FBgn0026316	Ubc10
FBgn0028331	l(1)G0289
FBgn0039764	CG15535
FBgn0017448	CG2187
FBgn0027578	Nepl21
FBgn0019982	Gs1l
FBgn0032366	CG14930
FBgn0030836	CG8664
FBgn0027106	Inx7
FBgn0002626	RpL32
FBgn0036820	Grx1
FBgn0039013	RNF220
FBgn0086674	Tpst
FBgn0038799	MFS9
FBgn0010241	Mdr50
FBgn0023550	FarO
FBgn0264742	CG44000
FBgn0264743	CG44001
FBgn0039828	CG1542
FBgn0263198	Acn
FBgn0027784	Prp18
FBgn0050181	ppk3
FBgn0000299	Col4a1
FBgn0039311	CG10513
FBgn0032293	Dpy-30L1
FBgn0267435	chp
FBgn0010622	DCTN3-p24
FBgn0039449	CG6425
FBgn0034654	eIF3k
FBgn0038983	CG5326
FBgn0010770	ppan
FBgn0265190	PIG-S
FBgn0040959	Peritrophin-15a
FBgn0037626	CG8236
FBgn0033485	RpLP0-like
FBgn0032833	COX4
FBgn0260871	CG42581
FBgn0010470	Fkbp14
FBgn0043539	Obp22a
FBgn0031668	CG31917
FBgn0265968	Tfb5
FBgn0036766	CG5506
FBgn0003517	sta
FBgn0003065	CG2150
FBgn0038330	CG14868
FBgn0038271	UQCR-C1
FBgn0052170	CG32170
FBgn0002578	Kaz-m1
FBgn0039563	CG4951
FBgn0037624	CG8223
FBgn0052213	CG32213
